To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
HSMC_RX_D_P[8],Unknown,PIN_R25,5,B5_N0,LVDS,,,,HSMC_RX_D_N[8]
HSMC_RX_D_P[9],Unknown,PIN_T25,5,B5_N0,LVDS,,,,HSMC_RX_D_N[9]
HSMC_RX_D_P[10],Unknown,PIN_U25,5,B5_N0,LVDS,,,,HSMC_RX_D_N[10]
HSMC_RX_D_P[11],Unknown,PIN_L21,6,B6_N0,LVDS,,,,HSMC_RX_D_N[11]
HSMC_RX_D_P[12],Unknown,PIN_N25,6,B6_N2,LVDS,,,,HSMC_RX_D_N[12]
HSMC_RX_D_P[13],Unknown,PIN_P25,6,B6_N2,LVDS,,,,HSMC_RX_D_N[13]
HSMC_RX_D_P[14],Unknown,PIN_P21,5,B5_N0,LVDS,,,,HSMC_RX_D_N[14]
# AIC_DOUT
HSMC_RX_D_P[15],Unknown,PIN_R22,5,B5_N0,LVDS,,,,HSMC_RX_D_N[15]
# AIC_XCLK
HSMC_RX_D_P[16],Unknown,PIN_T21,5,B5_N0,LVDS,,,,HSMC_RX_D_N[16]
HSMC_TX_D_N[0],Unknown,PIN_D28,6,B6_N0,LVDS,,,,HSMC_TX_D_P[0]
HSMC_TX_D_N[1],Unknown,PIN_E28,6,B6_N1,LVDS,,,,HSMC_TX_D_P[1]
HSMC_TX_D_N[2],Unknown,PIN_F28,6,B6_N1,LVDS,,,,HSMC_TX_D_P[2]
HSMC_TX_D_N[3],Unknown,PIN_G28,6,B6_N1,LVDS,,,,HSMC_TX_D_P[3]
HSMC_TX_D_N[4],Unknown,PIN_K28,6,B6_N1,LVDS,,,,HSMC_TX_D_P[4]
HSMC_TX_D_N[5],Unknown,PIN_M28,6,B6_N2,LVDS,,,,HSMC_TX_D_P[5]
HSMC_TX_D_N[6],Unknown,PIN_K22,6,B6_N0,LVDS,,,,HSMC_TX_D_P[6]
# AD_SDIO
HSMC_TX_D_N[7],Unknown,PIN_H24,6,B6_N0,LVDS,,,,HSMC_TX_D_P[7]
HSMC_TX_D_N[8],Unknown,PIN_J24,6,B6_N0,LVDS,,,,HSMC_TX_D_P[8]
HSMC_TX_D_N[9],Unknown,PIN_P28,6,B6_N2,LVDS,,,,HSMC_TX_D_P[9]
HSMC_TX_D_N[10],Unknown,PIN_J26,6,B6_N1,LVDS,,,,HSMC_TX_D_P[10]
HSMC_TX_D_N[11],Unknown,PIN_L28,6,B6_N2,LVDS,,,,HSMC_TX_D_P[11]
HSMC_TX_D_N[12],Unknown,PIN_V26,5,B5_N1,LVDS,,,,HSMC_TX_D_P[12]
HSMC_TX_D_N[13],Unknown,PIN_R28,5,B5_N0,LVDS,,,,HSMC_TX_D_P[13]
HSMC_TX_D_N[14],Unknown,PIN_U28,5,B5_N0,LVDS,,,,HSMC_TX_D_P[14]
# AIC_LRCIN
HSMC_TX_D_N[15],Unknown,PIN_V28,5,B5_N1,LVDS,,,,HSMC_TX_D_P[15]
# AIC_SPI_CS
HSMC_TX_D_N[16],Unknown,PIN_V22,5,B5_N1,LVDS,,,,HSMC_TX_D_P[16]
HSMC_TX_D_P[0],Unknown,PIN_D27,6,B6_N0,LVDS,,,,HSMC_TX_D_N[0]
HSMC_TX_D_P[1],Unknown,PIN_E27,6,B6_N1,LVDS,,,,HSMC_TX_D_N[1]
HSMC_TX_D_P[2],Unknown,PIN_F27,6,B6_N1,LVDS,,,,HSMC_TX_D_N[2]
HSMC_TX_D_P[3],Unknown,PIN_G27,6,B6_N1,LVDS,,,,HSMC_TX_D_N[3]
HSMC_TX_D_P[4],Unknown,PIN_K27,6,B6_N1,LVDS,,,,HSMC_TX_D_N[4]
HSMC_TX_D_P[5],Unknown,PIN_M27,6,B6_N2,LVDS,,,,HSMC_TX_D_N[5]
HSMC_TX_D_P[6],Unknown,PIN_K21,6,B6_N0,LVDS,,,,HSMC_TX_D_N[6]
HSMC_TX_D_P[7],Unknown,PIN_H23,6,B6_N0,LVDS,,,,HSMC_TX_D_N[7]
HSMC_TX_D_P[8],Unknown,PIN_J23,6,B6_N0,LVDS,,,,HSMC_TX_D_N[8]
HSMC_TX_D_P[9],Unknown,PIN_P27,6,B6_N2,LVDS,,,,HSMC_TX_D_N[9]
HSMC_TX_D_P[10],Unknown,PIN_J25,6,B6_N1,LVDS,,,,HSMC_TX_D_N[10]
HSMC_TX_D_P[11],Unknown,PIN_L27,6,B6_N2,LVDS,,,,HSMC_TX_D_N[11]
HSMC_TX_D_P[12],Unknown,PIN_V25,5,B5_N1,LVDS,,,,HSMC_TX_D_N[12]
HSMC_TX_D_P[13],Unknown,PIN_R27,5,B5_N0,LVDS,,,,HSMC_TX_D_N[13]
HSMC_TX_D_P[14],Unknown,PIN_U27,5,B5_N0,LVDS,,,,HSMC_TX_D_N[14]
# AIC_DIN
HSMC_TX_D_P[15],Unknown,PIN_V27,5,B5_N1,LVDS,,,,HSMC_TX_D_N[15]
# AIC_BCLK
HSMC_TX_D_P[16],Unknown,PIN_U22,5,B5_N0,LVDS,,,,HSMC_TX_D_N[16]
